,S&P 500,FTSE-500,CAC-40,Nikkei,Portfolio_Value,Loss,NormLoss,Weight,Cumulative_Weight
426,5833.810352846794,6454.514263779784,13779.802210157372,331.6673273593882,9077516.121777091,-922483.8782229088,-7.691839000893794,0.0037569273632794267,0.0037569273632794267
428,5673.417002318844,6707.120518527701,14838.24358782581,330.3367000775671,9141576.508699667,-858423.4913003333,-7.158651195612854,0.003794780296739402,0.007551707660018829
423,5956.578505997454,6735.554335577023,14669.455771121397,335.1924022267591,9346458.555693079,-653541.4443069212,-5.453375685648891,0.0037008547527665604,0.01125256241278539
414,6041.845624671865,6931.912939449998,14952.964304323106,337.1638202995775,9509784.920683134,-490215.07931686565,-4.093976682973302,0.0035376084891845976,0.014790170901969987
481,6066.4013778593635,7024.29169920826,15086.210841166638,338.2207432856726,9577708.939553948,-422291.0604460519,-3.528631072567266,0.0049495231222350675,0.019739694024205053
439,6161.108956485562,7118.60852497854,15101.442414017947,331.46738515380315,9637266.521922762,-362733.4780772384,-3.032921037761411,0.004009892674147015,0.023749586698352067
425,6131.060068630725,7096.060642005282,15583.034276524855,331.40601399658755,9639467.664526219,-360532.33547378145,-3.0146004741459262,0.003738142726463029,0.027487729424815095
430,6111.5410532690385,7222.9262316407585,14651.578548389936,335.81165753565574,9646212.20349665,-353787.79650335014,-2.958464286026701,0.003833014617549458,0.031320744042364554
416,6162.210376733701,7094.474527409088,15265.756896359097,338.04640426882486,9676494.84102621,-323505.1589737907,-2.7064156516339875,0.0035732516746391236,0.034893995717003676
432,5986.532765305123,7239.088817220203,15635.157932872196,345.6845635208881,9694783.975628655,-305216.0243713446,-2.5541914143537503,0.0038716341683790387,0.038765629885382714
451,6248.0488401558,7158.678737588034,15194.400804881012,338.5832760439359,9754849.097231619,-245150.90276838094,-2.0542570258817587,0.0042584914518873215,0.04302412133727004
417,6393.54167157337,6968.111382104946,15407.577576123287,334.85999687622376,9758439.34045401,-241560.6595459897,-2.024374691476174,0.00359120771320515,0.046615329050475184
139,6437.797307919788,6929.228325105661,15046.084707469663,338.62063943132785,9768731.315035252,-231268.6849647481,-1.93871246552659,0.0008913678636614356,0.04750669691413662
288,6253.984856898927,7091.677578055722,15479.659037053898,342.1098954194149,9769374.139758969,-230625.86024103127,-1.9333621028440613,0.0018811262395272857,0.049387823153663905
151,6271.314856911226,7265.46833072378,15442.227018503381,328.43860181625047,9770317.057146916,-229682.94285308383,-1.9255140070583057,0.0009466294328430493,0.050334452586506956
422,6335.873025285527,7058.400342638213,15246.48938419166,340.53663263486186,9782577.594192049,-217422.40580795147,-1.8234670299371603,0.003682350479002728,0.05401680306550968
102,6313.005548784695,7153.912849747773,15517.770630246574,334.63482840003235,9790815.916131202,-209184.08386879787,-1.7548977782521202,0.0007404759542437305,0.05475727901975341
447,6303.993195071579,7071.786260564469,15277.927284613726,345.50532043490256,9799080.178697547,-200919.82130245306,-1.686112617379763,0.00417395826998319,0.0589312372897366
325,6330.181276018564,7040.192390881089,15341.380068208115,344.77587711561273,9802089.520070152,-197910.47992984764,-1.6610652488126656,0.002264456351074149,0.06119569364081075
396,6344.184218420888,7126.554137457412,15320.982711167766,340.7208154672051,9821647.543785375,-178352.4562146254,-1.4982797858875743,0.003232400913537379,0.06442809455434813
138,6237.345468342292,7276.984871222673,15689.67104442588,337.67959782793685,9823174.07996176,-176825.92003824003,-1.4855741106228806,0.0008869110243431283,0.06531500557869126
490,6278.979022293312,7141.898835737531,15369.013001828718,346.69440223916877,9825147.378910504,-174852.62108949572,-1.4691499367115397,0.00517792351156239,0.07049292909025365
110,6410.384281454594,7097.876477517625,15461.45779765392,335.3481148693544,9828684.164179277,-171315.83582072333,-1.4397125438733434,0.0007707726824875107,0.07126370177274116
294,6258.617722023649,7205.0570624767115,15399.16344751961,344.74020621387007,9829170.901800856,-170829.098199144,-1.4356613263165214,0.0019385609355063076,0.07320226270824746
149,6344.078632318537,7198.385662307531,15523.385013993713,335.94237859971406,9836379.663628696,-163620.33637130447,-1.375661315663694,0.0009371868042504398,0.0741394495124979
431,6476.394579609918,6884.996164360645,16128.718276687128,338.711473683425,9843542.121572057,-156457.87842794321,-1.3160467017861124,0.0038522759975371432,0.07799172551003504
458,6379.948590142619,7139.374734305397,15505.552604906641,337.85159192998395,9844211.943099644,-155788.05690035596,-1.3104716391400528,0.004410564876017202,0.08240229038605223
145,6323.348724792289,7220.363444326365,15632.12623344805,337.5923193092769,9849027.860041058,-150972.1399589423,-1.2703877697199208,0.0009185831781784081,0.08332087356423064
101,6233.809832053751,7265.658228605952,15477.934206883268,346.24196730476314,9852471.212400189,-147528.78759981133,-1.2417280382482243,0.0007367735744725118,0.08405764713870315
421,6228.283190768761,7276.684776720605,15427.556947539593,347.07393495714774,9855217.998807859,-144782.00119214132,-1.218865968775382,0.003663938726607714,0.08772158586531086
287,6399.221526808162,7118.958753351392,15231.186447877466,342.49428478648247,9857248.38391257,-142751.61608742923,-1.201966655020612,0.0018717206083296494,0.0895933064736405
239,6369.466258826978,7133.7796754847495,15480.378384456395,342.7833918955451,9862360.045438346,-137639.95456165448,-1.1594212424622878,0.0014714614810607037,0.0910647679547012
66,6397.77487146109,7126.887518200526,15420.930092967727,341.24931161348445,9864434.390522396,-135565.6094776038,-1.142156040737905,0.0006182183147619045,0.0916829862694631
231,6290.293371049585,7230.503829784538,15612.728526361354,343.391817460772,9865051.750031736,-134948.24996826425,-1.1370176302838453,0.0014136228087442274,0.09309660907820733
12,6371.325978746807,7145.540530796034,15389.298402754652,343.73647530253777,9868116.429738589,-131883.57026141137,-1.11150966935378,0.00047161567062002337,0.09356822474882735
130,6329.074503933666,7186.953523329329,15649.32248103244,342.52506707774324,9868445.160625225,-131554.83937477507,-1.1087735744222038,0.0008520492513568082,0.09442027400018416
113,6333.922708819797,7197.3335417056005,15552.03314392852,343.00318160156996,9872342.649058042,-127657.3509419579,-1.0763339747970369,0.0007824508593699649,0.09520272485955412
124,6318.590868390761,7179.942471861527,15577.993046004429,346.02922605903876,9874817.481859883,-125182.5181401167,-1.05573543124397,0.0008268051701342336,0.09602953002968836
461,6333.489403645951,7201.018796519885,15387.881324184104,345.08633571521193,9875257.65474677,-124742.34525322914,-1.0520717815724903,0.0044773904887353885,0.10050692051842375
462,6521.2471104773485,6985.995432105777,15490.94231445213,340.0466153220054,9880385.130115915,-119614.86988408491,-1.0093947471360556,0.004499889938427527,0.10500681045685127
242,6401.224303175217,7145.051676802789,15530.036032673803,341.7468655267532,9883864.268493883,-116135.73150611669,-0.980437161252917,0.0014937559757177887,0.10650056643256905
460,6314.237094300169,7236.209423668532,15683.412235740194,342.9148321468325,9883981.356460284,-116018.64353971556,-0.9794626139729313,0.004455003536291712,0.11095556996886077
244,6361.791894345001,7207.736222515584,15652.091394265717,340.3446817905735,9884875.847975498,-115124.15202450193,-0.9720175767080831,0.0015088063187472932,0.11246437628760807
63,6401.672497437543,7186.037156794421,15417.570072719485,340.1989728813357,9884968.950366182,-115031.04963381775,-0.9712426663189949,0.0006089913291367937,0.11307336761674486
146,6312.051215199882,7200.440356891766,15531.193289579283,348.05439402963015,9887980.089494977,-112019.91050502285,-0.9461803346565566,0.0009231991740486513,0.11399656679079351
