,S&P 500,FTSE-500,CAC-40,Nikkei,Portfolio_Value,Loss,NormLoss,Weight,Cumulative_Weight
98,6394.439407558867,7191.937410912324,15451.831873807721,340.7336881231075,9888181.971389797,-111818.02861020342,-0.9445000300315654,0.0007257771367768128,0.11472234392757032
104,6407.670411113133,7163.365980474021,15728.933770495229,338.6178694035385,9889905.064126616,-110094.93587338366,-0.9301583739976914,0.000747936622048666,0.11547028054961898
204,6392.761182932195,7102.387338583615,15481.774496282153,347.55328201324306,9891569.06182631,-108430.93817369081,-0.9163085781392294,0.0012346865693570604,0.11670496711897604
413,6378.0197009972735,7179.776148322482,15668.030692839118,341.7537229191956,9892576.306820849,-107423.69317915104,-0.907925070423799,0.0035199204467386757,0.12022488756571471
123,6387.403433592011,7190.204969597216,15618.7866577526,340.5482765425636,9892603.84522762,-107396.15477238037,-0.9076958625876874,0.0008226711442835624,0.12104755870999828
195,6432.469853507433,7170.592761477259,15514.745797623653,338.43681767335073,9893660.038367203,-106339.9616327975,-0.8989049493712623,0.0011802240241864622,0.12222778273418475
42,6399.86318554615,7176.682041508584,15511.769579549788,341.6566216500184,9894393.394389976,-105606.60561002418,-0.8928010760252482,0.000548145439039845,0.1227759281732246
107,6353.448781638774,7232.891258016316,15597.661404467442,341.76281917592956,9894842.895712469,-105157.10428753123,-0.8890597838613316,0.0007592688038547992,0.12353519697707939
227,6354.992532920242,7228.828402164325,15488.243782356627,343.5163489339325,9897346.081592571,-102653.91840742901,-0.8682252517934088,0.0013855616900627645,0.12492075866714215
31,6357.138350718421,7231.24983198323,15555.847667932227,342.7208087151796,9899353.343397768,-100646.65660223179,-0.8515183980269636,0.0005187399466392078,0.12543949861378137
176,6386.214932778866,7203.163475859552,15434.705258961732,343.26486708321585,9901282.458091196,-98717.54190880433,-0.8354619787804336,0.001073008061659254,0.12651250667544062
111,6246.653539806279,7305.860506971975,15745.798736906121,347.62613802420486,9902017.358301662,-97982.64169833809,-0.829345252841944,0.0007746459120477495,0.12728715258748838
441,6348.877216786988,7278.452847335451,15386.081650996206,343.0484929702443,9904849.407817539,-95150.59218246117,-0.8057735209440023,0.004050294360391925,0.1313374469478803
285,6375.601659568299,7172.188413254784,15828.557622980381,343.3707772816587,9907477.325503986,-92522.67449601367,-0.7839008203405953,0.0018530501952615608,0.13319049714314185
64,6419.870165567826,7189.114734187358,15601.195962961947,339.9877578367103,9907942.078153856,-92057.9218461439,-0.780032588235128,0.0006120515870721544,0.133802548730214
483,6499.390878035893,7180.739941981397,15657.971651901878,331.8276448026777,9910181.329005769,-89818.67099423148,-0.7613948418124022,0.0049993920580137545,0.13880194078822775
365,6403.013936745289,7142.721229842684,15708.548677701287,344.8171458138144,9913100.291546911,-86899.708453089,-0.7370997148895806,0.0027672011146984924,0.14156914190292624
410,6427.170207942435,7199.059680288492,15743.838792326058,337.97761641044553,9913973.63372884,-86026.36627116054,-0.7298307078852286,0.0034673851940810445,0.1450365270970073
79,6427.566082500548,7185.582848761486,15502.550003540939,342.48324718646234,9919460.9373626,-80539.06263739988,-0.6841587486301105,0.0006598448284140799,0.14569637192542137
301,6278.395717021078,7332.081825262268,15595.65278682823,347.20778054752697,9920602.780585079,-79397.21941492148,-0.6746549521184846,0.002007788173056876,0.14770416009847825
164,6354.596192379964,7266.060086675886,15660.9040117222,343.0533266942114,9920722.484192234,-79277.51580776647,-0.6736586343213359,0.00101036886286134,0.1487145289613396
125,6436.2613956747255,7186.798076903856,15789.616160182664,338.72132617696377,9921761.621221913,-78238.37877808698,-0.6650096826234543,0.0008309599699841545,0.14954548893132374
324,6366.862623715279,7219.019313629968,15500.877837091479,347.0520310484533,9921937.677673524,-78062.32232647575,-0.6635443284857468,0.002253134069318778,0.15179862300064254
392,6428.616683770205,7172.34253315477,15583.469787206692,342.8671470484324,9921998.077680053,-78001.92231994681,-0.6630416067810053,0.003168236141223456,0.154966859141866
319,6391.2281161158635,7177.315905848367,15534.334027330273,347.08024971765616,9922130.68050365,-77869.31949635036,-0.6619379261464675,0.002197366191719555,0.15716422533358557
275,6403.58623547788,7202.751684569904,15596.151381749049,343.34693998979526,9922595.863594927,-77404.1364050731,-0.6580661113884377,0.0017624548129748473,0.15892668014656042
400,6331.998545614923,7224.744767125838,15626.459197650414,349.1706859567065,9922888.200452367,-77111.79954763316,-0.6556329314638532,0.003297865184317508,0.16222454533087793
479,6395.77240997844,7163.8465563518685,15520.559353072867,347.9902900012841,9923788.94671306,-76211.05328693986,-0.6481358346630715,0.004900151629090773,0.1671246969599687
399,6466.759439203797,7166.079585272425,15559.620614676287,339.9392848868837,9924619.66408182,-75380.33591818064,-0.6412216027650841,0.0032813758583959203,0.17040607281836462
27,6419.9623410352915,7210.013807690231,15658.50413657641,340.75525874836234,9924698.824205853,-75301.17579414696,-0.6405627367352816,0.0005084426996526587,0.17091451551801728
236,6402.186909016151,7193.481799627414,15557.719617837134,345.3305598637287,9926953.11099917,-73046.88900082931,-0.6217998430728449,0.0014494997345231876,0.17236401525254047
269,6414.5112009624645,7233.0607926493885,15693.500691647896,339.9318533920114,9928276.476965696,-71723.52303430438,-0.6107851953447923,0.00171023769949343,0.1740742529520339
329,6345.44784679968,7252.3633056983,15578.636561852183,347.24981346225616,9928480.23263446,-71519.76736553945,-0.609089294913007,0.002310317303258534,0.17638457025529244
468,6461.872368684579,7121.444447034291,15738.598310136354,342.5135599952457,9929410.900358865,-70589.09964113496,-0.6013431556019726,0.004637280935970356,0.1810218511912628
100,6435.801134765163,7173.755877353569,15632.16567457569,343.23657991268243,9932263.989989646,-67736.01001035422,-0.577596302490636,0.0007330897066001493,0.18175494089786295
78,6435.534842722364,7198.72139776683,15531.89962726358,342.58333665868,9932267.24198178,-67732.75801821984,-0.5775692354897605,0.0006565456042720094,0.18241148650213496
419,6264.612750156047,7423.9638101097935,16096.10166612075,338.68586158622975,9932327.073257137,-67672.92674286291,-0.5770712474517975,0.0036273909378098015,0.18603887743994477
357,6422.633292059221,7169.3989716227,15755.727298730384,343.95943424183054,9934307.660842456,-65692.33915754408,-0.5605864087158224,0.002658430861065036,0.1886973083010098
229,6428.364369503896,7215.706627745436,15535.856327724496,342.9066309923242,9936949.707386209,-63050.2926137913,-0.5385961107206476,0.001399521921227004,0.1900968302222368
150,6312.890983028957,7301.394845189858,15884.787267187332,345.3717771649406,9937031.490527974,-62968.50947202556,-0.5379154127735721,0.0009418962856788339,0.19103872650791565
405,6412.0368890990785,7192.000120570998,15735.219436079764,344.25688110861705,9937482.171206286,-62517.82879371382,-0.5341643045880723,0.003381563087120789,0.19442028959503643
364,6390.187398086578,7200.58923064461,15485.297446787947,348.8195489299651,9938054.213089515,-61945.786910485476,-0.5294030820775694,0.0027533651091249996,0.19717365470416143
205,6440.671106166799,7263.765931294955,15647.53904484695,337.22146131381567,9938576.524687262,-61423.47531273775,-0.525055774984147,0.0012408910244794578,0.1984145457286409
25,6439.702783291423,7185.550447730166,15388.205414165292,345.86170193024935,9939298.04881588,-60701.95118412003,-0.5190503809321272,0.0005033709837236234,0.19891791671236453
261,6384.384639526757,7237.109837413544,15791.864062522023,343.862194111509,9940241.245491076,-59758.75450892374,-0.5111999605810292,0.0016430134607637967,0.20056093017312832
491,6516.559193432516,7095.246973213141,15851.367895230725,339.23694449919975,9940708.171793152,-59291.82820684835,-0.5073136367201944,0.0052039432277008945,0.20576487340082922
128,6460.386722283964,7135.566013997866,15776.747893330845,343.4738558551441,9942294.103109082,-57705.89689091779,-0.49411360346580063,0.0008435500600745241,0.20660842346090375
10,6432.782169622521,7189.071853419014,15630.95319440201,344.2164409000149,9942308.215566466,-57691.78443353437,-0.493996142573963,0.0004669113043055886,0.20707533476520934
286,6388.223415008077,7227.078754950986,15772.275729118566,344.89220180469636,9943206.977959312,-56793.0220406875,-0.4865155579142068,0.001862362005288001,0.20893769677049734
415,6421.289637382679,7173.637065878594,15846.245590322143,344.43529685602226,9943712.734372124,-56287.265627875924,-0.4823060430375688,0.0035553854162659274,0.21249308218676327
33,6390.119108682918,7240.046482185133,15850.756642597418,343.35927129734404,9945830.67166247,-54169.328337529674,-0.4646780143944197,0.000523966512602417,0.2130170486993657
148,6346.957002887682,7288.248656072031,15898.303497635634,344.2440062813674,9947072.880608918,-52927.119391081855,-0.45433885327356405,0.0009325008702291875,0.2139495495695949
99,6410.041328816588,7224.742015636147,15691.68382991397,344.4159397196596,9947919.016694557,-52080.98330544308,-0.44729628821669026,0.0007294242580671485,0.21467897382766205
9,6466.712113824644,7191.673397961194,15572.007318141736,342.10562085734193,9948481.283855278,-51518.716144721955,-0.44261642273650237,0.00046457674778406066,0.2151435505754461
141,6457.003647353453,7252.956569299681,15588.772828647621,338.6455641118546,9948774.43338432,-51225.56661568023,-0.44017647877865823,0.0009003488433740921,0.21604389941882018
168,6394.995207068825,7239.241613277183,15803.44954380575,343.9467018322077,9948928.998840604,-51071.00115939602,-0.4388899986250489,0.0010308313805364084,0.2170747307993566
194,6394.5738974975275,7252.681318320485,15732.210202338325,343.89474462569234,9949400.019224055,-50599.98077594489,-0.4349695988810007,0.00117432290406553,0.21824905370342212
147,6446.557929893256,7222.349936360247,15719.312557955742,340.7993353828779,9950402.02575177,-49597.97424823046,-0.4266296920047755,0.0009278383658780417,0.21917689206930016
29,6405.309245150405,7219.679553624975,15618.605059657068,346.6276165431637,9951069.99138815,-48930.00861185044,-0.4210700763237932,0.0005135655156714817,0.21969045758497163
177,6452.083851569987,7248.21887998198,15671.641784595968,339.1124187685781,9951719.248211725,-48280.751788275316,-0.4156661779482793,0.0010784000619690993,0.22076885764694074
142,6443.621117295146,7180.580917955335,15935.056648338992,342.1708509023842,9952951.122748032,-47048.87725196779,-0.40541303225327857,0.000904873209421198,0.22167373085636194
306,6401.5720668033055,7257.433437569515,15610.50165684078,344.871924240638,9953651.941645514,-46348.05835448578,-0.3995799721080212,0.002058744670659391,0.22373247552702133
363,6421.163402764695,7253.539450572877,15711.827469053982,341.97860308925294,9953868.567932192,-46131.432067807764,-0.3977769468702934,0.0027395982835793746,0.2264720738106007
350,6432.917513513213,7188.906647999367,15799.913158155883,344.6645406141026,9955622.557090007,-44377.44290999323,-0.3831781335557251,0.0025667698844738076,0.2290388436950745
408,6437.143282412964,7197.019484397073,15692.283541230538,344.90551036511044,9956169.895939788,-43830.10406021215,-0.37862251948470044,0.0034327980267700865,0.23247164172184456
448,6483.1207104061705,7215.940234842083,15656.777699344628,339.20860556373384,9957274.280443976,-42725.7195560243,-0.36943049960686414,0.004194932934656471,0.23666657465650104
228,6435.416139965979,7224.304296874714,15833.613166848276,342.0317825516585,9958671.670379927,-41328.32962007262,-0.35779973512253066,0.0013925243116208689,0.2380590989681219
81,6431.852298435003,7189.684242016701,15789.624385102636,345.5794319853691,9959928.187070455,-40071.8129295446,-0.3473414876984052,0.0006664930970572256,0.23872559206517913
450,6330.323345378491,7371.603620629106,15900.190080844173,342.31131075656697,9960078.650312267,-39921.349687732756,-0.346089151121449,0.0042371989946278854,0.242962791059807
108,6443.437745359332,7210.281833360722,15630.109985268442,344.8339250823173,9961196.068969494,-38803.93103050627,-0.33678864530111025,0.0007630842249796979,0.2437258752847867
26,6431.9900406247325,7248.681552574932,15677.631552016564,342.89597621795235,9961728.139356531,-38271.8606434688,-0.33236011379282626,0.0005059004861543954,0.2442317757709411
376,6443.358834489147,7204.310535962592,15782.458858159087,343.6977080250905,9961755.170495775,-38244.8295042254,-0.3321351280489086,0.0029240637428351608,0.24715583951377626
57,6478.014487763656,7193.168669163187,15645.805265471494,342.4195127240544,9962605.151516618,-37394.84848338179,-0.32506056080375906,0.000590948444230678,0.24774678795800695
486,6449.654033061032,7195.119751477931,15635.664283621343,345.5166962744315,9963101.904897733,-36898.09510226734,-0.32092598001575323,0.005075139144132323,0.25282192710213924
293,6463.905509231744,7160.26873904503,15933.293493068586,343.2422050248667,9963248.413817793,-36751.58618220687,-0.3197065560738476,0.0019288681308287764,0.254750795232968
77,6447.108145444866,7188.823041391728,15519.813131499162,347.5520858108544,9963369.760522978,-36630.23947702162,-0.31869656243309746,0.0006532628762506493,0.2554040581092187
3,6401.778489248736,7272.97970453175,15792.765255760756,343.4424149171216,9963465.078471959,-36534.92152804136,-0.3179032114956127,0.0004508125045357918,0.25585487061375445
54,6409.035154411325,7267.997279532681,15749.804835160461,343.50128766756836,9963531.506806403,-36468.4931935966,-0.31735031477499376,0.0005821284648319796,0.2564369990785864
295,6462.709295371094,7200.122005534439,15694.21661990313,343.39909440106044,9964715.736705616,-35284.26329438388,-0.3074937252156388,0.0019483024477450332,0.25838530152633143
140,6296.304213442226,7331.774840043955,15928.803689273342,349.3624958312771,9965171.971262626,-34828.02873737365,-0.30369639095289674,0.0008958470991572217,0.2592811486254887
53,6403.302994343497,7240.332931876617,15746.97127701968,346.4059802217533,9965197.233508192,-34802.766491808,-0.3034861280756853,0.0005792178225078196,0.2598603664479965
370,6438.733794603457,7192.245684559284,15822.849879078862,345.24017194113566,9965396.217781892,-34603.782218107954,-0.3018299409485645,0.0028374310716526288,0.2626977975196491
298,6395.055109015003,7255.905311927272,15690.728747837766,346.84618568949156,9965491.263898894,-34508.73610110581,-0.30103885252466694,0.0019778216836004807,0.2646756192032496
36,6465.65860543471,7270.857448429073,15802.710647469326,337.0882536258377,9966068.871430067,-33931.128569932655,-0.29623130597905867,0.0005319052651732864,0.2652075244684229
112,6565.62494154318,7146.765672571678,15934.094149914794,333.82288000647793,9966309.90683652,-33690.09316347912,-0.29422511860592765,0.0007785386050731152,0.265986063073496
326,6498.590153563719,7166.587389410665,15873.162681163125,340.2839632222891,9966441.874265488,-33558.12573451176,-0.2931267264918632,0.002275835528717738,0.2682618986022137
37,6413.695004393879,7238.399850414677,15855.03437588838,344.4806840125949,9966546.259795675,-33453.740204324946,-0.29225790420687353,0.0005345781559530517,0.26879647675816676
252,6432.555856699633,7242.68493707242,15702.943881336574,343.82012300708453,9966559.272572942,-33440.72742705792,-0.29214959617932446,0.0015705394442453006,0.27036701620241205
480,6411.369826077702,7219.854661797089,15692.709366253805,347.8707812334815,9966796.356922353,-33203.64307764731,-0.29017629426840275,0.004924775506623892,0.27529179170903595
385,6477.39189728062,7202.701717223785,15772.751138649419,341.1921941915107,9967088.527886365,-32911.47211363539,-0.2877444951090156,0.003058997408319255,0.2783507891173552
56,6438.888681726215,7204.0731350482565,15724.00437040921,345.8188366908928,9967462.111934697,-32537.888065302745,-0.28463507806694877,0.0005879937020095246,0.27893878281936474
482,6531.722760036519,7094.090859346899,15754.57295104817,343.39760418961475,9967601.018789686,-32398.981210313737,-0.28347892767966526,0.004974395097723686,0.2839131779170884
349,6463.276377024865,7180.141996115462,15709.252680528632,345.16799925993286,9968017.304276016,-31982.69572398439,-0.280014097767,0.002553936035051439,0.28646711395213986
498,6375.891787259896,7307.795603594853,15788.464341307044,344.5874352903917,9968126.179181132,-31873.820818867534,-0.2791079094890617,0.0053897793329402855,0.29185689328508013
276,6469.334964544906,7247.186395376413,15749.374449187337,339.42335621802124,9968723.76160895,-31276.238391049206,-0.27413410776120134,0.0017713113698239673,0.2936282046549041
382,6409.17882296923,7285.521581266606,15755.100009023532,343.13259724504553,9969053.376278896,-30946.623721104115,-0.2713906569189697,0.003013341489625415,0.2966415461445295
193,6403.841748352092,7301.179239425302,15716.966023841656,343.06813779600986,9969413.981708953,-30586.018291046843,-0.2683892635921231,0.0011684512895452023,0.29780999743407466
225,6431.4770213124675,7242.05002953639,15692.442436392977,344.63269556174777,9969667.584163887,-30332.415836112574,-0.26627847808401045,0.0013717407122043883,0.299181738146279
94,6445.813196459728,7201.772791685025,15503.22787938619,348.07538065991434,9969889.769772297,-30110.23022770323,-0.2644291814655562,0.0007113700981768354,0.29989310824445586
226,6443.212749852893,7208.746741642602,15647.552942031267,346.2901899681944,9969960.309062378,-30039.69093762152,-0.26384206841376967,0.0013786338816124508,0.30127174212606833
412,6421.3010126945965,7290.2693839169315,15679.862399488513,342.53438494514745,9970305.236063085,-29694.763936914504,-0.2609711698862383,0.003502320844504982,0.3047740629705733
352,6450.402897124307,7239.5750665670685,15718.242449792551,342.6090644314727,9970308.040280886,-29691.959719114006,-0.2609478298034445,0.002592631382514389,0.30736669435308767
300,6442.504655927932,7238.292266845191,15637.906009544433,344.51056634213745,9970798.175706727,-29201.82429327257,-0.25686833162135125,0.0019977492321915915,0.30936444358527926
395,6387.483291576222,7259.904189048365,15864.494393071578,346.41590697114174,9970959.46695999,-29040.53304000944,-0.25552587127308146,0.0032162389089696922,0.312580682494249
48,6439.74587697833,7211.893538486011,15743.175019200573,345.6978386385229,9971735.339548666,-28264.66045133397,-0.24906812378501986,0.0005648814591867186,0.3131455639534357
189,6429.298644862581,7273.72389561212,15812.790994859773,341.7082431231476,9972077.758100294,-27922.241899706423,-0.24621810359624968,0.0011452569479523673,0.31429082090138805
358,6435.7761780903065,7249.332409413318,15749.006246963612,343.65381176225617,9973256.19680211,-26743.80319789052,-0.2364097153665821,0.002671789810115614,0.31696261071150367
207,6415.7502234774165,7257.891946816234,15719.542317172501,345.8442725398486,9975177.997802043,-24822.002197956666,-0.2204141694985889,0.0012533936258977882,0.31821600433740144
184,6423.419195615311,7243.837594247051,15790.11808966363,345.32441245424957,9975597.981435403,-24402.018564596772,-0.21691855914588026,0.0011169104104947103,0.31933291474789616
187,6440.562884989912,7235.671457750671,15840.907635637961,343.52954044936797,9975691.482676543,-24308.517323456705,-0.2161403290422318,0.0011338330098965425,0.3204667477577927
119,6481.866747648703,7253.269982681522,15774.750692484136,338.7751019583597,9976865.340598317,-23134.659401683137,-0.20637006758910395,0.000806340711248131,0.32127308846904085
487,6410.369173094232,7242.0643647393445,15805.874559706728,346.9321466671353,9977075.223225519,-22924.77677448094,-0.20462317121928042,0.005100642355911882,0.32637373082495275
284,6429.619360909047,7265.950799942356,15546.466636624482,346.1587508911517,9977967.07634267,-22032.923657329753,-0.19720009388536527,0.001843784944285253,0.328217515769238
80,6423.946241731389,7265.712282141356,15801.904595496831,344.0157304393324,9978121.44344344,-21878.5565565601,-0.19591526468559115,0.0006631606315719396,0.32888067640081
23,6419.883236445563,7245.584861343168,15748.420749054178,346.52137320456535,9978414.009666411,-21585.990333588794,-0.19348017570440937,0.0004983498581609802,0.329379026258971
91,6415.023593215437,7270.986966464528,15732.014681149196,345.52339049022044,9979063.368361553,-20936.631638446823,-0.18807542943084563,0.0007007528105402838,0.33007977906951125
321,6430.31976723661,7260.6985425348175,15796.675349225958,344.14135093204425,9980403.709685037,-19596.290314963087,-0.176919492307653,0.0022195057616924366,0.3322992848312037
96,6443.27202135834,7250.620845270627,15635.845345083033,345.2984948564059,9980794.14968534,-19205.850314659998,-0.17366977970277753,0.000718537509837464,0.33301782234104116
492,6289.512586506509,7418.9703195924585,15715.966718065938,348.9308609978664,9980959.13983415,-19040.860165849328,-0.17229653268440312,0.005230093696181803,0.338247916037223
394,6453.417511632269,7264.815906873134,15697.384441206985,342.56990036333025,9981047.350765362,-18952.649234637618,-0.17156233492079292,0.003200157714424844,0.3414480737516478
467,6395.909747793464,7314.230698189384,15682.933908293851,345.38265093178114,9981123.726780545,-18876.273219455034,-0.17092664160285334,0.004614094531290505,0.34606216828293834
472,6477.614907987894,7202.998998468708,15621.455757207887,345.2926108639515,9981507.865991605,-18492.134008394554,-0.1677293717656412,0.004731197570384271,0.3507933658533226
255,6451.639511129777,7229.195988217551,15764.963724029869,344.70440881341307,9981884.839190263,-18115.1608097367,-0.1645917461268038,0.0015943350948274876,0.3523877009481501
208,6469.737866052988,7272.694373071433,15738.698680869968,340.0239382306467,9982301.98436145,-17698.015638550743,-0.16111976087986798,0.0012596920863294353,0.3536473930344795
436,6228.4675066113505,7352.425283259449,15337.90207201345,364.62042411883033,9982511.142377932,-17488.857622068375,-0.15937889559443139,0.003950044524748787,0.3575974375592283
290,6450.7043211452055,7262.983025073563,15829.054598170691,341.837417421367,9982707.313015416,-17292.686984583735,-0.1577461269415131,0.0019000795328676403,0.35949751709209593
192,6438.500851362688,7256.558407013072,15764.035817532145,344.37920589683193,9983081.63929439,-16918.360705610365,-0.1546305321608257,0.0011626090330974764,0.3606601261251934
310,6445.504429659055,7207.1055469484345,15720.233513769645,347.74840515502007,9983753.232675716,-16246.767324283719,-0.1490407220108566,0.002100439442499962,0.3627605655676933
495,6478.154189301623,7241.436148299566,15745.327061732763,341.54566150517076,9983856.295735529,-16143.704264471307,-0.14818290691939714,0.005309336202673734,0.368069901770367
